datetime,posts,following,followers
2024-11-17T01:39:43.235463,10314,1501,33316
2024-11-17T01:40:53.098914,10314,1501,33319
2024-11-17T01:42:02.938289,10314,1501,33322
2024-11-17T01:43:12.514367,10314,1501,33324
2024-11-17T01:44:21.883231,10314,1501,33325
2024-11-17T01:45:31.521192,10314,1501,33326
2024-11-17T01:46:41.031722,10314,1501,33328
2024-11-17T01:48:01.510531,10314,1501,33332
2024-11-17T01:49:10.393131,10314,1501,33334
2024-11-17T01:50:19.512325,10314,1501,33335
2024-11-17T01:51:30.732296,10314,1501,33337
2024-11-17T01:52:39.857126,10314,1501,33341
2024-11-17T01:53:48.915282,10314,1501,33343
2024-11-17T01:54:58.150566,10314,1501,33344
2024-11-17T01:56:07.582907,10314,1501,33345
2024-11-17T01:57:16.838636,10314,1501,33349
2024-11-17T01:58:26.173170,10314,1501,33349
2024-11-17T01:59:35.670523,10314,1501,33351
2024-11-17T02:00:45.339253,10314,1501,33353
2024-11-17T02:01:54.856564,10314,1501,33354
2024-11-17T02:03:04.705365,10314,1501,33355
2024-11-17T02:04:18.884563,10314,1501,33356
2024-11-17T02:05:30.435546,10314,1501,33356
2024-11-17T02:06:40.090996,10314,1501,33359
2024-11-17T02:08:00.773733,10314,1501,33359
2024-11-17T02:09:10.730005,10314,1501,33361
2024-11-17T02:10:19.890656,10314,1501,33362
2024-11-17T02:11:31.148325,10314,1501,33363
2024-11-17T02:12:40.399702,10314,1501,33364
2024-11-17T02:13:49.955976,10315,1501,33364
2024-11-17T02:14:59.759224,10315,1501,33367
2024-11-17T02:16:08.876728,10315,1501,33367
2024-11-17T02:17:22.816472,10315,1501,33371
2024-11-17T02:18:32.424706,10316,1501,33371
2024-11-17T02:19:41.633506,10316,1501,33373
2024-11-17T02:20:50.672944,10316,1501,33373
2024-11-17T02:22:00.464109,10316,1501,33374
2024-11-17T02:23:09.710995,10316,1501,33376
2024-11-17T02:24:19.353175,10316,1501,33377
2024-11-17T02:25:30.855851,10316,1501,33380
2024-11-17T02:26:40.449527,10316,1501,33383
2024-11-17T02:27:49.533583,10316,1501,33386
2024-11-17T02:28:59.058595,10316,1501,33390
2024-11-17T02:30:08.581259,10316,1501,33393
2024-11-17T02:31:17.653983,10316,1501,33396
2024-11-17T02:32:27.393320,10316,1501,33398
2024-11-17T02:33:36.407250,10316,1501,33400
2024-11-17T02:34:45.455350,10316,1501,33401
2024-11-17T02:35:54.575348,10316,1501,33403
2024-11-17T02:37:04.380129,10316,1501,33404
2024-11-17T02:38:14.108941,10316,1501,33404
2024-11-17T02:39:23.709975,10316,1501,33405
2024-11-17T02:40:33.287666,10316,1501,33410
2024-11-17T02:41:42.241261,10316,1501,33412
2024-11-17T02:42:51.432726,10316,1501,33412
2024-11-17T02:44:01.320141,10316,1501,33412
2024-11-17T02:45:10.609465,10316,1501,33414
2024-11-17T02:46:19.889949,10316,1501,33416
2024-11-17T02:47:31.218201,10316,1501,33416
2024-11-17T02:48:40.576580,10316,1501,33416
2024-11-17T02:49:50.495001,10316,1501,33419
2024-11-17T02:51:00.193225,10316,1501,33421
2024-11-17T02:52:09.847563,10316,1501,33424
2024-11-17T02:53:18.924006,10316,1501,33427
2024-11-17T02:54:28.632447,10316,1501,33427
2024-11-17T02:55:38.198173,10316,1501,33428
2024-11-17T02:56:47.827935,10316,1501,33428
2024-11-17T02:57:57.034090,10316,1501,33429
2024-11-17T02:59:06.021639,10316,1501,33433
2024-11-17T03:00:15.097513,10316,1501,33435
2024-11-17T03:01:24.664500,10316,1501,33436
2024-11-17T03:02:33.738872,10316,1501,33439
2024-11-17T03:03:43.379686,10316,1501,33440
2024-11-17T03:04:52.465981,10316,1501,33441
2024-11-17T03:06:01.523571,10316,1501,33443
2024-11-17T03:07:11.071877,10316,1501,33446
2024-11-17T03:08:20.093164,10316,1501,33446
2024-11-17T03:09:31.672140,10316,1501,33447
2024-11-17T03:10:41.095571,10316,1501,33447
2024-11-17T03:11:50.041673,10316,1501,33447
2024-11-17T03:12:59.589680,10316,1501,33448
2024-11-17T03:14:08.604992,10316,1501,33449
2024-11-17T03:15:17.668228,10316,1501,33450
2024-11-17T03:16:26.726740,10316,1501,33450
2024-11-17T03:17:36.177462,10316,1501,33450
2024-11-17T03:18:45.667392,10316,1501,33453
2024-11-17T03:19:55.198912,10316,1501,33455
2024-11-17T03:21:05.150046,10316,1501,33456
2024-11-17T03:22:14.435537,10316,1501,33460
2024-11-17T03:23:23.545606,10316,1501,33460
2024-11-17T03:24:38.302232,10316,1501,33462
2024-11-17T03:25:47.828721,10316,1501,33464
2024-11-17T03:26:57.257124,10316,1501,33465
2024-11-17T03:28:06.799376,10316,1501,33466
2024-11-17T03:29:16.364886,10316,1501,33467
2024-11-17T03:30:25.379959,10316,1501,33469
2024-11-17T03:31:34.501919,10316,1501,33472
2024-11-17T03:32:44.037480,10316,1501,33475
2024-11-17T03:33:53.039704,10316,1501,33476
2024-11-17T03:35:01.861888,10316,1501,33477
2024-11-17T03:36:11.388843,10316,1501,33480
2024-11-17T03:37:20.446898,10316,1501,33483
2024-11-17T03:38:30.006894,10316,1501,33484
2024-11-17T03:39:39.510474,10316,1501,33485
2024-11-17T03:40:49.006055,10316,1501,33487
2024-11-17T03:41:58.058544,10316,1501,33488
2024-11-17T03:43:07.340897,10316,1501,33490
2024-11-17T03:44:16.378538,10316,1501,33490
2024-11-17T03:45:25.818259,10316,1501,33492
2024-11-17T03:46:35.239518,10316,1501,33493
2024-11-17T03:47:44.327656,10316,1501,33496
2024-11-17T03:48:54.496939,10316,1501,33499
2024-11-17T03:50:04.557737,10316,1500,33502
2024-11-17T03:51:14.015723,10316,1500,33508
2024-11-17T03:52:24.037660,10316,1500,33508
2024-11-17T03:53:34.367164,10316,1500,33510
2024-11-17T03:54:44.298409,10316,1500,33511
2024-11-17T03:55:53.959550,10316,1500,33512
2024-11-17T03:57:03.859576,10316,1500,33512
2024-11-17T03:58:13.622467,10316,1500,33512
2024-11-17T03:59:23.291721,10316,1500,33512
2024-11-17T04:00:34.025954,10316,1500,33514
2024-11-17T04:01:43.597568,10316,1500,33515
2024-11-17T04:02:52.940368,10316,1500,33515
2024-11-17T04:04:02.462119,10316,1500,33516
2024-11-17T04:05:12.771178,10316,1500,33518
2024-11-17T04:06:23.933364,10316,1500,33519
2024-11-17T04:07:34.905338,10316,1500,33519
2024-11-17T04:08:44.413585,10316,1500,33521
2024-11-17T04:09:54.369847,10316,1500,33523
2024-11-17T04:11:04.092157,10316,1500,33526
2024-11-17T04:12:15.209682,10316,1500,33528
2024-11-17T04:13:25.036231,10316,1500,33529
2024-11-17T04:14:35.178661,10316,1500,33531
2024-11-17T04:15:45.071723,10316,1500,33532
2024-11-17T04:16:54.489400,10316,1500,33535
2024-11-17T04:18:03.934713,10316,1500,33537
2024-11-17T04:19:14.074802,10316,1500,33539
2024-11-17T04:20:24.196717,10316,1500,33539
2024-11-17T04:21:35.193592,10316,1500,33542
2024-11-17T04:22:45.241481,10316,1500,33546
2024-11-17T04:23:54.511988,10316,1500,33551
2024-11-17T04:25:04.346021,10316,1500,33553
2024-11-17T04:26:13.836061,10316,1500,33557
2024-11-17T04:27:23.250584,10316,1500,33559
2024-11-17T04:28:32.847327,10316,1500,33562
2024-11-17T04:29:43.002179,10316,1500,33563
2024-11-17T04:30:52.662953,10316,1500,33562
